Date,Description,Max Temp,Min Temp, Pokemon, Pokemon Code
2022-12-05,Partly cloudy throughout the day with early morning rain.,63.1,47.2,Blastoise, https://assets.pokemon.com/assets/cms2/img/pokedex/full/009_f2.png
2022-12-06,Partly cloudy throughout the day.,60.0,43.8,Snom, https://th.bing.com/th/id/OIP.5E9-U1ylYqCwCI2_8s8-7AAAAA?pid=ImgDet&rs=1
2022-12-07,Partly cloudy throughout the day.,57.8,42.9,Snom, https://th.bing.com/th/id/OIP.5E9-U1ylYqCwCI2_8s8-7AAAAA?pid=ImgDet&rs=1
2022-12-08,Becoming cloudy in the afternoon.,59.1,48.3,Snom, https://th.bing.com/th/id/OIP.5E9-U1ylYqCwCI2_8s8-7AAAAA?pid=ImgDet&rs=1
2022-12-09,Becoming cloudy in the afternoon.,59.4,48.5,Snom, https://th.bing.com/th/id/OIP.5E9-U1ylYqCwCI2_8s8-7AAAAA?pid=ImgDet&rs=1
2022-12-10,Partly cloudy throughout the day with a chance of rain.,53.5,49.9,Piplup, https://static.pokemonpets.com/images/monsters-images-800-800/393-Piplup.webp
2022-12-11,Partly cloudy throughout the day with a chance of rain.,55.7,45.3,Piplup, https://static.pokemonpets.com/images/monsters-images-800-800/393-Piplup.webp
2022-12-12,Partly cloudy throughout the day.,54.1,44.9,Abomasnow, https://cdn.discordapp.com/attachments/1014300724152246385/1049568987329081344/460-Abomasnow.png
2022-12-13,Clearing in the afternoon.,56.4,48.1,Snom, https://th.bing.com/th/id/OIP.5E9-U1ylYqCwCI2_8s8-7AAAAA?pid=ImgDet&rs=1
2022-12-14,Becoming cloudy in the afternoon.,59.1,48.1,Snom, https://th.bing.com/th/id/OIP.5E9-U1ylYqCwCI2_8s8-7AAAAA?pid=ImgDet&rs=1
2022-12-15,Partly cloudy throughout the day.,54.6,50.5,Abomasnow, https://cdn.discordapp.com/attachments/1014300724152246385/1049568987329081344/460-Abomasnow.png
2022-12-16,Clear conditions throughout the day.,58.0,47.9,Snom, https://th.bing.com/th/id/OIP.5E9-U1ylYqCwCI2_8s8-7AAAAA?pid=ImgDet&rs=1
2022-12-17,Clear conditions throughout the day.,62.7,49.0,Snom, https://th.bing.com/th/id/OIP.5E9-U1ylYqCwCI2_8s8-7AAAAA?pid=ImgDet&rs=1
2022-12-18,Clear conditions throughout the day.,64.5,50.3,Snom, https://th.bing.com/th/id/OIP.5E9-U1ylYqCwCI2_8s8-7AAAAA?pid=ImgDet&rs=1
2022-12-19,Clear conditions throughout the day.,62.9,50.4,Snom, https://th.bing.com/th/id/OIP.5E9-U1ylYqCwCI2_8s8-7AAAAA?pid=ImgDet&rs=1
